항목,남,여,총
만성질환 ,12202554,11251253,23453807
대사증후군,9667321,6582767,16250088
호흡계통의 질환,5192315,7385647,12577962
순환계통의 질환,6305255,4153598,10458853
고혈압,5428574,3522300,8950874
치주질환 및 치은염,4014143,3749014,7763157
감기,2131751,3119487,5251238
척추질환,2181508,2592350,4773858
알레르기질환,1866113,2795062,4661175
손상,2279218,2372434,4651652
당뇨병,2743390,1470922,4214312
정신 및 행동장애,1317441,1991566,3309007
VDT(영상단말기)증후군,992895,1690479,2683374
비염,1057669,1455378,2513047
고지혈증,1038939,1391524,2430463
관절병증,763762,1431544,2195306
환경성질환,872236,1221083,2093319
접촉피부염,697597,1065531,1763128
위식도 역류질환,715060,992744,1707804
[한방]척추질환,757207,894417,1651624
퇴행성 관절증,533460,1019193,1552653
추간판탈출증(디스크) ,711471,768992,1480463
경추질환,576856,779411,1356267
치아우식증,562902,632666,1195568
거북목(일자목)증후군,429261,646051,1075312
염증성 다발관절병증,590222,423590,1013812
우울증,318701,676935,995636
추간판탈출증_허리 디스크 ,458771,483367,942138
골절,439675,476310,915985
불안장애,377289,511743,889032
후두염,329446,522837,852283
장염,361243,473071,834314
안구건조증,245549,567246,812795
망막(맥락막·유리체) 질환,358242,407796,766038
근막통증증후군,313075,437038,750113
[한방]거북목(일자목)증후군,300443,432785,733228
심장병,516071,212320,728391
질염,2698,603590,606288
방광염,20283,572948,593231
전립선증식증,587797,0,587797
갑상선 기능 저하증,73655,502102,575757
테니스 엘보,286290,284025,570315
추간판탈출증_목 디스크 ,261247,297329,558576
[한방]근막통증증후군,220584,323139,543723
각막염,190171,347614,537785
불면증,192422,342034,534456
녹내장,257117,256797,513914
심혈관질환,380104,112296,492400
유방암,656,484576,485232
뇌혈관질환,276180,205507,481687
시력저하 ,188051,292966,481017
B형간염,280382,183196,463578
오십견,188008,269875,457883
[한방]경추질환,187704,269056,456760
알레르기성결막염,144933,308373,453306
통풍,411928,13684,425612
척추관 협착증 ,190651,225932,416583
허혈성 심질환,325703,83235,408938
자궁근종,0,402275,402275
공황장애,178041,204160,382201
골다공증,15819,326629,342448
갑상선암,66093,246853,312946
환경성질환_천식,125878,173700,299578
백내장,122849,172231,295080
조현병,131894,153558,285452
빈혈,51807,226957,278764
중이염,112901,151562,264463
갑상선 기능 항진증,88054,176195,264249
뇌졸중,177440,85849,263289
발목염좌긴장,103481,149877,253358
협심증 ,179266,62034,241300
대상포진,89706,149030,238736
소화기암 ,138191,96665,234856
류마티스관절염,43805,180877,224682
치질,114975,108078,223053
[한방]발목염좌긴장,84700,123355,208055
신경인성 방광,93067,111905,204972
환경성질환_아토피성 피부염 ,77290,122400,199690
하지의 정맥류,46493,143055,189548
지방간,107195,75339,182534
부정맥,107432,71937,179369
난청,80362,97805,178167
탈모,94683,79912,174595
근시,65862,103677,169539
비알코올성 지방간,95819,73495,169314
조울증,61709,101501,163210
인플루엔자,71896,90502,162398
화상,50820,109355,160175
요로결석증,101527,44888,146415
성매개감염병,48553,94490,143043
영양결핍,30775,108271,139046
건선,83416,47344,130760
폐렴,51898,78162,130060
이명,54101,64766,118867
대장암,65567,51382,116949
수면무호흡증,96178,14944,111122
티눈,48959,59026,107985
자궁부속기종양,686,104739,105425
불임,28685,75078,103763
가려움증,37259,64127,101386
황반변성,44698,54733,99431
뇌전증,51067,43091,94158
자궁암,0,93889,93889
손목터널증후군,19101,73152,92253
간경변증,59065,28903,87968
[한방]관절병증,26959,57876,84835
반월상 연골판 손상,37019,47677,84696
위암,50820,33568,84388
담낭담석,36699,45350,82049
궤양성 대장염 및 크론병,50864,30210,81074
심근경색증,70433,6210,76643
알코올성 간질환,57011,15267,72278
알코올중독증,53360,17036,70396
선천성이상아,31657,38526,70183
[한방]추간판탈출증_허리 디스크 ,33072,36302,69374
심부전,41621,26643,68264
[한방]퇴행성 관절증,21096,44560,65656
신우신염,10947,51535,62482
백반증,29007,32922,61929
자궁경부암,0,60073,60073
폐암,29002,30989,59991
[한방]오십견,22947,35863,58810
간암,44951,10521,55472
[한방]추간판탈출증_목 디스크 ,22750,24616,47366
요실금 ,1796,40005,41801
루푸스,4291,37253,41544
강박증,22194,19125,41319
진행정도 상세불명 위암,22458,16769,39227
난소암,0,35964,35964
뇌종양_양성,13002,22874,35876
만성폐쇄성폐질환(COPD),25497,7616,33113
[한방]안면마비 ,17338,15491,32829
자궁내막암(자궁체부암),0,32250,32250
틱장애,11226,20372,31598
ADHD(주의력결핍 과잉행동장애),15376,15695,31071
췌장염,21266,8837,30103
조기위암,18290,11773,30063
신장암,19971,8204,28175
맹장염(충수염),13237,13204,26441
백혈병,14950,11395,26345
파킨슨증,13176,12300,25476
안면마비 ,12632,11334,23966
탈장,12209,11299,23508
결핵,14991,7718,22709
구강암,14542,7542,22084
진행형위암,12861,7780,20641
췌장암,10362,8669,19031
호흡기 결핵,13186,5692,18878
[한방]염증성 다발관절병증,5545,12150,17695
야뇨증 ,8345,8270,16615
전립선암,16499,0,16499
방광암,13227,3243,16470
C형간염,7621,7644,15265
치매,6641,6950,13591
만성 백혈병,8495,5027,13522
사시,6279,6028,12307
비만,2228,9907,12135
급성 백혈병,6042,6063,12105
피부암,6260,5603,11863
담도담석,6414,5399,11813
외상후 스트레스장애,4137,6834,10971
감염성 관절병증,5415,5350,10765
뇌종양_악성,5617,4939,10556
육종,5142,5295,10437
유산,0,10401,10401
당뇨병성족부궤양,7749,2542,10291
흉부대동맥류,7153,2324,9477
[한방]뇌졸중,6078,3000,9078
패혈증,4300,4572,8872
복합부위통증증후군,4321,3829,8150
[한방]위식도 역류질환,2531,5230,7761
옴(Scabies),2694,4759,7453
아나필락시스(과민성 쇼크),3205,3578,6783
온열질환(폭염) ,3126,2563,5689
식도암,4303,1328,5631
심정지 ,4005,1273,5278
고위험산모_임신성 당뇨병,0,5063,5063
식중독 및 감염병 관련 질환,2245,2795,5040
미주신경성 실신,2038,2712,4750
수막뇌염,2349,2093,4442
건강염려증,2304,1619,3923
한랭질환 ,1637,2206,3843
기흉,2522,1253,3775
피부전구암,1801,1874,3675
의약품중독,940,2440,3380
후두암,2732,236,2968
진통 및 분만의 합병증,0,2876,2876
혈우병,2751,120,2871
기면증,1708,1124,2832
영양실조,928,1862,2790
벌 쏘임,1952,826,2778
욕창,1681,1000,2681
인격장애,1238,1325,2563
다낭성 난소증후군,0,2304,2304
고위험산모_다태아임신,0,1999,1999
대퇴경부골절,852,978,1830
고위험산모_조기진통,0,1806,1806
폭식증,135,1511,1646
동상,744,724,1468
고환암,1395,0,1395
[한방]감염성 관절병증,494,839,1333
"고위험산모_임신중독증(고혈압, 단백뇨, 부종) ",0,1268,1268
흡연(니코틴중독),1091,149,1240
분노조절장애,992,205,1197
도박중독,1058,98,1156
A형간염,588,398,986
고위험산모_자궁경관무력증,0,760,760
거식증,111,534,645
실명,427,201,628
수족구병,182,367,549
고위험산모_전치태반,0,516,516
자폐증,434,76,510
뱀 물림,289,192,481
고위험산모_선천성 태아기형 ,0,323,323
조산,0,197,197
고위험산모_저체중아 산모,0,175,175
"구개, 구순열",76,84,160
산후우울증,0,118,118
머릿니 감염증,26,46,72
고위험산모_자궁기형,0,35,35
성조숙증,0,0,0
미숙아,0,0,0
