항목,남,여,총
호흡계통의 질환,4967595,6860195,11827790
만성질환 ,2981569,3327314,6308883
감기,2153396,3116376,5269772
치주질환 및 치은염,2173956,2432583,4606539
알레르기질환,1664814,2365485,4030299
손상,2148485,1577879,3726364
정신 및 행동장애,1291877,1822126,3114003
비염,1008301,1367570,2375871
환경성질환,903828,1153917,2057745
척추질환,1095611,934903,2030514
VDT(영상단말기)증후군,743783,950529,1694312
대사증후군,1037025,442083,1479108
접촉피부염,532184,820306,1352490
치아우식증,536572,646113,1182685
우울증,362852,764002,1126854
장염,468845,576492,1045337
순환계통의 질환,643431,295608,939039
위식도 역류질환,368052,509332,877384
후두염,309284,469092,778376
거북목(일자목)증후군,360059,393494,753553
질염,7277,723729,731006
[한방]척추질환,364135,346861,710996
고혈압,522867,152124,674991
경추질환,313687,341643,655330
불안장애,255639,361474,617113
안구건조증,183310,335102,518412
추간판탈출증(디스크) ,302051,205601,507652
[한방]거북목(일자목)증후군,229708,266667,496375
골절,289920,194748,484668
당뇨병,299596,169952,469548
근막통증증후군,201062,223179,424241
발목염좌긴장,208619,213888,422507
환경성질환_아토피성 피부염 ,196071,206172,402243
관절병증,211759,177256,389015
알레르기성결막염,127091,243210,370301
추간판탈출증_허리 디스크 ,228944,140582,369526
염증성 다발관절병증,291100,77704,368804
방광염,18370,339848,358218
각막염,130529,221548,352077
불임,64399,250242,314641
시력저하 ,126039,177462,303501
고지혈증,179611,96177,275788
[한방]경추질환,119305,144965,264270
인플루엔자,111828,147003,258831
공황장애,104350,136038,240388
ADHD(주의력결핍 과잉행동장애),120801,119320,240121
통풍,233034,4711,237745
중이염,90033,131687,221720
불면증,88778,130135,218913
성매개감염병,91597,122720,214317
조울증,77173,135988,213161
[한방]근막통증증후군,98425,111514,209939
퇴행성 관절증,112130,93861,205991
갑상선 기능 저하증,18169,170500,188669
조현병,91738,92339,184077
환경성질환_천식,84738,96913,181651
망막(맥락막·유리체) 질환,81998,96137,178135
치질,90295,85935,176230
[한방]발목염좌긴장,81923,82308,164231
탈모,99646,57337,156983
근시,60106,85727,145833
갑상선 기능 항진증,40410,104455,144865
추간판탈출증_목 디스크 ,75151,66865,142016
화상,55498,83528,139026
빈혈,28917,106112,135029
녹내장,64087,66231,130318
자궁근종,0,127046,127046
난청,45867,66512,112379
뇌전증,57150,42795,99945
궤양성 대장염 및 크론병,68206,31703,99909
갑상선암,24130,74251,98381
대상포진,43465,54501,97966
티눈,50328,40459,90787
심장병,52469,36796,89265
폐렴,32839,56340,89179
지방간,58635,23402,82037
테니스 엘보,51557,27998,79555
B형간염,47842,31114,78956
건선,48389,30401,78790
비알코올성 지방간,55916,22773,78689
자궁부속기종양,94,78471,78565
가려움증,24675,51966,76641
강박증,41766,32642,74408
다낭성 난소증후군,0,73774,73774
선천성이상아,33167,38895,72062
신경인성 방광,39995,29095,69090
영양결핍,17428,46762,64190
수면무호흡증,56607,6576,63183
하지의 정맥류,15902,46106,62008
요로결석증,44454,15775,60229
진통 및 분만의 합병증,0,49341,49341
이명,20840,28054,48894
유산,0,44352,44352
유방암,39,43781,43820
뇌혈관질환,23131,19632,42763
자궁암,0,41923,41923
고위험산모_임신성 당뇨병,0,40968,40968
류마티스관절염,10528,29250,39778
부정맥,18403,20132,38535
심혈관질환,26312,10135,36447
오십견,21727,13903,35630
자궁경부암,0,34496,34496
백반증,17278,15447,32725
신우신염,5716,26789,32505
척추관 협착증 ,19735,12242,31977
고위험산모_조기진통,0,28975,28975
루푸스,3523,24838,28361
담낭담석,11460,16892,28352
알코올중독증,16705,11159,27864
반월상 연골판 손상,20660,6572,27232
맹장염(충수염),13465,12157,25622
[한방]추간판탈출증_허리 디스크 ,15352,10075,25427
틱장애,15413,9075,24488
손목터널증후군,8445,11767,20212
소화기암 ,10667,9495,20162
뇌졸중,12921,7200,20121
허혈성 심질환,15039,4483,19522
자폐증,16171,2505,18676
고위험산모_다태아임신,0,18595,18595
전립선증식증,18169,0,18169
뇌종양_양성,4472,13541,18013
외상후 스트레스장애,4862,11483,16345
사시,7567,7920,15487
백혈병,8661,5864,14525
[한방]관절병증,6696,7819,14515
췌장염,8439,4732,13171
알코올성 간질환,8948,4200,13148
협심증 ,9382,3676,13058
안면마비 ,6327,5372,11699
비만,3166,8067,11233
[한방]추간판탈출증_목 디스크 ,5356,5802,11158
대장암,6317,4779,11096
"고위험산모_임신중독증(고혈압, 단백뇨, 부종) ",0,10659,10659
[한방]퇴행성 관절증,4898,5613,10511
[한방]안면마비 ,5704,4762,10466
결핵,5208,4728,9936
백내장,5304,4270,9574
심부전,6349,3109,9458
기면증,5348,3871,9219
급성 백혈병,4764,3998,8762
탈장,5454,2828,8282
미주신경성 실신,2117,5503,7620
호흡기 결핵,4005,3586,7591
골다공증,2232,5287,7519
자궁내막암(자궁체부암),0,7295,7295
고위험산모_자궁경관무력증,0,7236,7236
난소암,0,7211,7211
인격장애,4074,2965,7039
간경변증,3712,2856,6568
뇌종양_악성,3629,2379,6008
폭식증,294,5661,5955
기흉,4573,1047,5620
[한방]오십견,2844,2619,5463
만성 백혈병,3674,1740,5414
야뇨증 ,2617,2795,5412
육종,2891,2496,5387
황반변성,2504,2569,5073
아나필락시스(과민성 쇼크),2035,2982,5017
요실금 ,581,4293,4874
식중독 및 감염병 관련 질환,2362,2394,4756
혈우병,4345,159,4504
위암,1803,2633,4436
패혈증,1603,2489,4092
한랭질환 ,1592,2496,4088
구강암,2171,1742,3913
옴(Scabies),2036,1859,3895
신장암,2575,1297,3872
고위험산모_전치태반,0,3864,3864
고위험산모_선천성 태아기형 ,0,3860,3860
도박중독,3726,131,3857
감염성 관절병증,2289,1565,3854
[한방]염증성 다발관절병증,1875,1758,3633
수막뇌염,1618,1985,3603
의약품중독,883,2713,3596
[한방]위식도 역류질환,1395,2186,3581
심근경색증,3243,292,3535
복합부위통증증후군,2114,1307,3421
만성폐쇄성폐질환(COPD),1997,1292,3289
온열질환(폭염) ,1737,1524,3261
담도담석,1425,1794,3219
폐암,1370,1658,3028
분노조절장애,2493,279,2772
고환암,2705,1,2706
피부암,1426,1131,2557
고위험산모_저체중아 산모,0,2468,2468
진행정도 상세불명 위암,979,1427,2406
건강염려증,1325,908,2233
조산,0,2226,2226
간암,1291,756,2047
영양실조,656,1312,1968
C형간염,736,898,1634
췌장암,650,983,1633
거식증,144,1462,1606
심정지 ,1083,483,1566
파킨슨증,934,596,1530
수족구병,485,994,1479
진행형위암,622,849,1471
동상,683,774,1457
피부전구암,545,686,1231
흉부대동맥류,915,285,1200
벌 쏘임,801,247,1048
조기위암,386,654,1040
욕창,610,382,992
산후우울증,0,931,931
당뇨병성족부궤양,713,217,930
"구개, 구순열",530,391,921
방광암,688,187,875
고위험산모_자궁기형,0,786,786
[한방]뇌졸중,500,217,717
A형간염,376,228,604
흡연(니코틴중독),401,61,462
대퇴경부골절,286,136,422
[한방]감염성 관절병증,175,236,411
치매,171,152,323
전립선암,177,0,177
실명,92,50,142
뱀 물림,104,36,140
식도암,70,36,106
후두암,57,42,99
머릿니 감염증,24,36,60
미숙아,3,7,10
성조숙증,0,0,0
