항목,남,여,총,비율(%)
호흡계통의 질환,7847922,7314706,15162628,33.69268336864526
감기,3311703,3164638,6476341,14.390995195580569
알레르기질환,2098990,1866958,3965948,8.812682750016155
비염,2050713,1882393,3933106,8.73970495835675
환경성질환,1708009,1504977,3212986,7.139535439759524
치아우식증,691266,700818,1392084,3.0933322003650803
중이염,735409,648504,1383913,3.075175524899244
장염,659093,569450,1228543,2.72992981848302
손상,543989,398887,942876,2.095152800945507
시력저하 ,323161,332403,655564,1.456720449771805
폐렴,309806,275525,585331,1.300656591248727
후두염,276924,241012,517936,1.1508990165308186
인플루엔자,232184,214411,446595,0.9923730852606903
만성질환 ,304191,130632,434823,0.9662146733669413
접촉피부염,206143,199292,405435,0.9009119712998757
알레르기성결막염,225621,174151,399772,0.8883282908246548
치주질환 및 치은염,177349,166461,343810,0.7639758404000895
정신 및 행동장애,253778,84338,338116,0.7513232752180468
환경성질환_천식,165810,128511,294321,0.6540069611773792
근시,141350,147857,289207,0.6426432066390991
환경성질환_아토피성 피부염 ,149183,134028,283211,0.6293195710873731
성조숙증,26011,252234,278245,0.6182846854719842
수족구병,130109,116977,247086,0.5490466667668088
선천성이상아,128705,104439,233144,0.5180663253955338
ADHD(주의력결핍 과잉행동장애),136422,31570,167992,0.3732928925292802
골절,84378,56093,140471,0.3121388274827404
사시,54869,64451,119320,0.26513945864442184
발목염좌긴장,58815,56926,115741,0.2571866081374793
각막염,59572,52800,112372,0.2497003959670715
VDT(영상단말기)증후군,55035,50138,105173,0.2337035893731963
안구건조증,29409,29440,58849,0.13076761650826
척추질환,28818,24515,53333,0.11851058286861339
미숙아,25858,22664,48522,0.10782012078733352
화상,24776,22168,46944,0.10431366700137228
빈혈,19437,16064,35501,0.07888632183486105
가려움증,16455,16867,33322,0.07404439357148361
뇌전증,15914,13614,29528,0.06561379429142213
근막통증증후군,15200,13250,28450,0.06321838416387698
자폐증,20755,5164,25919,0.05759428116497461
순환계통의 질환,13109,11205,24314,0.054027831021458875
망막(맥락막·유리체) 질환,12616,11639,24255,0.05389672786976577
틱장애,17930,5515,23445,0.05209683714313167
방광염,8314,14498,22812,0.05069025587157687
위식도 역류질환,11264,9503,20767,0.04614608730865495
거북목(일자목)증후군,10547,7541,18088,0.040193115386861406
신우신염,10503,6350,16853,0.0374488375505736
난청,8915,7097,16012,0.03558006211711769
갑상선 기능 저하증,7695,8089,15784,0.03507342620887994
백반증,7521,7624,15145,0.033653512413424146
관절병증,5840,6214,12054,0.02678504051709572
대사증후군,5051,5103,10154,0.022563074615114476
티눈,5224,4645,9869,0.021929779729817293
탈장,5920,3034,8954,0.0198965698349158
[한방]발목염좌긴장,4636,4072,8708,0.019349936354975072
신경인성 방광,4815,2994,7809,0.017352279857142897
질염,3,7805,7808,0.017350057769826063
불안장애,4484,3198,7682,0.017070074767905202
탈모,2896,4649,7545,0.016765648805499186
요실금 ,4432,2853,7285,0.016187906103122807
퇴행성 관절증,3424,3835,7259,0.016130131832885166
영양결핍,3548,3672,7220,0.01604347042752871
심장병,3499,3250,6749,0.01499686730130073
야뇨증 ,3392,3259,6651,0.01477910274425117
우울증,3828,1858,5686,0.012634788483508068
경추질환,3257,2380,5637,0.01252590620498329
백혈병,3312,2289,5601,0.012445911061577329
급성 백혈병,3182,2187,5369,0.011930386804072251
"구개, 구순열",2747,2423,5170,0.011488191428022636
패혈증,2434,2027,4461,0.009912731520388584
염증성 다발관절병증,2211,2205,4416,0.009812737591131134
[한방]거북목(일자목)증후군,2647,1685,4332,0.009626082256517227
녹내장,2228,1923,4151,0.009223884452170593
[한방]척추질환,2365,1387,3752,0.008337271612754533
맹장염(충수염),2030,1333,3363,0.007472879646506793
대상포진,1666,1575,3241,0.007201784993853263
부정맥,1604,1493,3097,0.006881804420229422
당뇨병,1340,1553,2893,0.006428498607595645
뇌혈관질환,1547,1307,2854,0.006341837202239189
고지혈증,1193,1420,2613,0.005806314158882621
아나필락시스(과민성 쇼크),1730,856,2586,0.0057463178013281505
[한방]경추질환,1479,783,2262,0.005026361510674508
치질,1233,954,2187,0.00485970496191209
수막뇌염,1144,1040,2184,0.0048530386999615935
[한방]근막통증증후군,1182,923,2105,0.004677493801931847
강박증,1165,825,1990,0.004421953760496141
건선,891,912,1803,0.004006423432248513
뇌졸중,1038,747,1785,0.003966425860545533
식중독 및 감염병 관련 질환,887,781,1668,0.003706441644476162
갑상선 기능 항진증,338,1237,1575,0.0034997875240107648
뇌종양_악성,753,714,1467,0.0032598020937928836
심혈관질환,782,667,1449,0.003219804522089903
혈우병,1408,28,1436,0.0031909173869710842
백내장,683,673,1356,0.003013150401624506
궤양성 대장염 및 크론병,809,530,1339,0.002975374917238358
조울증,1024,191,1215,0.0026998360899511613
이명,562,594,1156,0.0025687329382580596
만성폐쇄성폐질환(COPD),739,414,1153,0.002562066676307563
지방간,699,397,1096,0.0024354076992481257
비알코올성 지방간,698,397,1095,0.0024331856119312934
비만,603,456,1059,0.0023531904685253333
수면무호흡증,657,283,940,0.0020887620778222977
옴(Scabies),545,363,908,0.002017655283683666
육종,406,459,865,0.0019221055290598802
요로결석증,447,284,731,0.0016243458286043613
췌장염,356,340,696,0.001546572772515233
의약품중독,346,325,671,0.0014910205895944271
안면마비 ,335,323,658,0.0014621334544756082
뇌종양_양성,201,387,588,0.001306587342297352
온열질환(폭염) ,331,243,574,0.0012754781198617009
피부전구암,319,234,553,0.001228814286208224
B형간염,229,240,469,0.0010421589515943166
감염성 관절병증,235,211,446,0.000991050943307175
외상후 스트레스장애,215,216,431,0.0009577196335546918
간암,280,151,431,0.0009577196335546918
한랭질환 ,212,214,426,0.0009466091969705307
자궁부속기종양,68,344,412,0.0009154999745348794
신장암,209,192,401,0.0008910570140497248
고혈압,198,164,362,0.0008043956086932677
영양실조,179,171,350,0.000777730560891281
[한방]안면마비 ,163,162,325,0.0007221783779704752
불면증,191,112,303,0.0006732924570001661
성매개감염병,127,146,273,0.0006066298374951992
머릿니 감염증,39,203,242,0.0005377451306734
허혈성 심질환,158,75,233,0.0005177463448219099
심정지 ,134,87,221,0.0004910812970199232
동상,104,109,213,0.00047330459848526533
테니스 엘보,91,105,196,0.00043552911409911734
벌 쏘임,129,64,193,0.00042886285214862067
루푸스,43,148,191,0.0004244186775149562
추간판탈출증(디스크) ,93,88,181,0.00040219780434663387
미주신경성 실신,64,115,179,0.00039775362971296947
욕창,76,80,156,0.0003466456214258281
담낭담석,73,68,141,0.00031331431167334466
[한방]관절병증,82,56,138,0.00030664804972284793
공황장애,79,48,127,0.0002822050892376934
하지의 정맥류,71,53,124,0.0002755388272871967
반월상 연골판 손상,80,41,121,0.0002688725653367
기흉,76,25,101,0.00022443081900005537
류마티스관절염,43,55,98,0.00021776455704955867
심부전,47,45,92,0.0002044320331485653
추간판탈출증_허리 디스크 ,50,41,91,0.00020220994583173307
추간판탈출증_목 디스크 ,43,47,90,0.00019998785851490082
[한방]퇴행성 관절증,51,33,84,0.00018665533461390745
고환암,78,0,78,0.00017332281071291404
만성 백혈병,28,44,72,0.00015999028681192067
황반변성,31,40,71,0.00015776819949508844
조현병,57,13,70,0.0001555461121782562
난소암,0,68,68,0.00015110193754459174
피부암,33,35,68,0.00015110193754459174
분노조절장애,46,21,67,0.00014887985022775952
거식증,29,30,59,0.00013110315169310164
결핵,30,22,52,0.00011554854047527602
오십견,22,29,51,0.00011332645315844381
간경변증,28,23,51,0.00011332645315844381
췌장암,25,19,44,9.777184194061819e-05
[한방]위식도 역류질환,19,24,43,9.554975462378596e-05
[한방]염증성 다발관절병증,25,18,43,9.554975462378596e-05
파킨슨증,23,17,40,8.888349267328926e-05
소화기암 ,22,14,36,7.999514340596033e-05
다낭성 난소증후군,0,34,34,7.555096877229587e-05
구강암,21,13,34,7.555096877229587e-05
척추관 협착증 ,16,16,32,7.110679413863141e-05
담도담석,9,21,30,6.666261950496694e-05
골다공증,17,13,30,6.666261950496694e-05
폭식증,18,12,30,6.666261950496694e-05
통풍,16,11,27,5.999635755447025e-05
갑상선암,5,18,23,5.1108008287141324e-05
대퇴경부골절,13,10,23,5.1108008287141324e-05
협심증 ,7,10,17,3.7775484386147935e-05
C형간염,9,8,17,3.7775484386147935e-05
기면증,4,11,15,3.333130975248347e-05
흉부대동맥류,7,7,14,3.110922243565124e-05
실명,9,4,13,2.8887135118819006e-05
폐암,6,7,13,2.8887135118819006e-05
인격장애,9,2,11,2.4442960485154546e-05
방광암,4,7,11,2.4442960485154546e-05
흡연(니코틴중독),5,6,11,2.4442960485154546e-05
[한방]추간판탈출증_목 디스크 ,10,1,11,2.4442960485154546e-05
전립선증식증,11,0,11,2.4442960485154546e-05
[한방]추간판탈출증_허리 디스크 ,6,4,10,2.2220873168322315e-05
뱀 물림,10,0,10,2.2220873168322315e-05
호흡기 결핵,5,5,10,2.2220873168322315e-05
치매,9,1,10,2.2220873168322315e-05
[한방]오십견,6,1,7,1.555461121782562e-05
전립선암,6,0,6,1.3332523900993387e-05
알코올중독증,2,4,6,1.3332523900993387e-05
건강염려증,2,4,6,1.3332523900993387e-05
손목터널증후군,6,0,6,1.3332523900993387e-05
복합부위통증증후군,5,1,6,1.3332523900993387e-05
A형간염,2,3,5,1.1110436584161157e-05
[한방]뇌졸중,5,0,5,1.1110436584161157e-05
[한방]감염성 관절병증,0,5,5,1.1110436584161157e-05
진통 및 분만의 합병증,0,5,5,1.1110436584161157e-05
알코올성 간질환,2,1,3,6.666261950496694e-06
대장암,1,1,2,4.444174633664463e-06
불임,0,2,2,4.444174633664463e-06
"고위험산모_임신중독증(고혈압, 단백뇨, 부종) ",0,1,1,2.2220873168322315e-06
후두암,0,0,0,0.0
식도암,0,0,0,0.0
고위험산모_다태아임신,0,0,0,0.0
자궁내막암(자궁체부암),0,0,0,0.0
심근경색증,0,0,0,0.0
산후우울증,0,0,0,0.0
도박중독,0,0,0,0.0
당뇨병성족부궤양,0,0,0,0.0
위암,0,0,0,0.0
유방암,0,0,0,0.0
유산,0,0,0,0.0
자궁경부암,0,0,0,0.0
자궁근종,0,0,0,0.0
자궁암,0,0,0,0.0
고위험산모_선천성 태아기형 ,0,0,0,0.0
조기위암,0,0,0,0.0
고위험산모_조기진통,0,0,0,0.0
고위험산모_전치태반,0,0,0,0.0
진행정도 상세불명 위암,0,0,0,0.0
진행형위암,0,0,0,0.0
고위험산모_저체중아 산모,0,0,0,0.0
고위험산모_자궁기형,0,0,0,0.0
고위험산모_자궁경관무력증,0,0,0,0.0
고위험산모_임신성 당뇨병,0,0,0,0.0
조산,0,0,0,0.0
