항목,남,여,총,비율(%)
만성질환 ,12202554,11251253,23453807,14.443224834944585
대사증후군,9667321,6582767,16250088,10.007060882339273
호흡계통의 질환,5192315,7385647,12577962,7.745707685382985
순환계통의 질환,6305255,4153598,10458853,6.440726889013569
고혈압,5428574,3522300,8950874,5.512089600262328
치주질환 및 치은염,4014143,3749014,7763157,4.780674710079003
감기,2131751,3119487,5251238,3.233795310748687
척추질환,2181508,2592350,4773858,2.9398171658911876
알레르기질환,1866113,2795062,4661175,2.8704251945120394
손상,2279218,2372434,4651652,2.864560780683479
당뇨병,2743390,1470922,4214312,2.5952399003114928
정신 및 행동장애,1317441,1991566,3309007,2.037738780804561
VDT(영상단말기)증후군,992895,1690479,2683374,1.6524640966920463
비염,1057669,1455378,2513047,1.5475740395485895
고지혈증,1038939,1391524,2430463,1.496717507823524
관절병증,763762,1431544,2195306,1.3519041126032485
환경성질환,872236,1221083,2093319,1.289098906981769
접촉피부염,697597,1065531,1763128,1.0857620733719766
위식도 역류질환,715060,992744,1707804,1.05169268025518
[한방]척추질환,757207,894417,1651624,1.0170961488167152
퇴행성 관절증,533460,1019193,1552653,0.9561482436370016
추간판탈출증(디스크) ,711471,768992,1480463,0.9116925012991096
경추질환,576856,779411,1356267,0.835210642656682
치아우식증,562902,632666,1195568,0.7362496600004012
거북목(일자목)증후군,429261,646051,1075312,0.6621941155955591
염증성 다발관절병증,590222,423590,1013812,0.6243214441205575
우울증,318701,676935,995636,0.6131283762062546
추간판탈출증_허리 디스크 ,458771,483367,942138,0.5801834627335776
골절,439675,476310,915985,0.5640780322118587
불안장애,377289,511743,889032,0.5474799490530665
후두염,329446,522837,852283,0.5248493343533132
장염,361243,473071,834314,0.513783740308853
안구건조증,245549,567246,812795,0.5005320001873804
망막(맥락막·유리체) 질환,358242,407796,766038,0.4717383009978414
근막통증증후군,313075,437038,750113,0.4619314344411032
[한방]거북목(일자목)증후군,300443,432785,733228,0.4515333847198772
심장병,516071,212320,728391,0.44855468371297347
질염,2698,603590,606288,0.3733617275322886
방광염,20283,572948,593231,0.36532102067945776
전립선증식증,587797,0,587797,0.36197467764213814
갑상선 기능 저하증,73655,502102,575757,0.3545602554541866
테니스 엘보,286290,284025,570315,0.3512089858904962
추간판탈출증_목 디스크 ,261247,297329,558576,0.34397992425724344
[한방]근막통증증후군,220584,323139,543723,0.3348332122341834
각막염,190171,347614,537785,0.3311764980355076
불면증,192422,342034,534456,0.32912644724948675
녹내장,257117,256797,513914,0.3164763591610399
심혈관질환,380104,112296,492400,0.3032276981185491
유방암,656,484576,485232,0.2988135304903733
뇌혈관질환,276180,205507,481687,0.29663046349234273
시력저하 ,188051,292966,481017,0.2962178669087939
B형간염,280382,183196,463578,0.2854786552363947
오십견,188008,269875,457883,0.28197158427623
[한방]경추질환,187704,269056,456760,0.28128002313693845
알레르기성결막염,144933,308373,453306,0.27915299537637495
통풍,411928,13684,425612,0.26209859271249375
척추관 협착증 ,190651,225932,416583,0.25653839188732647
허혈성 심질환,325703,83235,408938,0.25183048012429576
자궁근종,0,402275,402275,0.2477272994732724
공황장애,178041,204160,382201,0.2353654131775134
골다공증,15819,326629,342448,0.21088488782555018
갑상선암,66093,246853,312946,0.19271709020188357
환경성질환_천식,125878,173700,299578,0.18448486463639055
백내장,122849,172231,295080,0.18171492518444654
조현병,131894,153558,285452,0.17578585069727068
빈혈,51807,226957,278764,0.1716672746513388
중이염,112901,151562,264463,0.16286049294785915
갑상선 기능 항진증,88054,176195,264249,0.1627287083674421
뇌졸중,177440,85849,263289,0.16213752520295427
발목염좌긴장,103481,149877,253358,0.15602185852948694
협심증 ,179266,62034,241300,0.14859635165720128
대상포진,89706,149030,238736,0.14701739995538168
소화기암 ,138191,96665,234856,0.14462803466557672
류마티스관절염,43805,180877,224682,0.1383627247535984
치질,114975,108078,223053,0.1373595608213581
[한방]발목염좌긴장,84700,123355,208055,0.12812355550782847
신경인성 방광,93067,111905,204972,0.12622499540770765
환경성질환_아토피성 피부염 ,77290,122400,199690,0.12297225637143192
하지의 정맥류,46493,143055,189548,0.11672665256493653
지방간,107195,75339,182534,0.11240732056939733
부정맥,107432,71937,179369,0.1104582635739765
난청,80362,97805,178167,0.10971805298677405
탈모,94683,79912,174595,0.10751835896224224
근시,65862,103677,169539,0.10440479429593967
비알코올성 지방간,95819,73495,169314,0.10426623574176284
조울증,61709,101501,163210,0.10050729612089439
인플루엔자,71896,90502,162398,0.1000072536942651
화상,50820,109355,160175,0.09863829517899798
요로결석증,101527,44888,146415,0.0901646698213391
성매개감염병,48553,94490,143043,0.08808813895607559
영양결핍,30775,108271,139046,0.08562672321809865
건선,83416,47344,130760,0.08052407352961308
폐렴,51898,78162,130060,0.08009300247217405
이명,54101,64766,118867,0.07320017626372376
대장암,65567,51382,116949,0.07201904156634077
수면무호흡증,96178,14944,111122,0.06843068292105893
티눈,48959,59026,107985,0.06649886876793568
자궁부속기종양,686,104739,105425,0.06492238032930146
불임,28685,75078,103763,0.06389889447578191
가려움증,37259,64127,101386,0.06243510032787818
황반변성,44698,54733,99431,0.061231180446030584
뇌전증,51067,43091,94158,0.05798398375192191
자궁암,0,93889,93889,0.05781832930270604
손목터널증후군,19101,73152,92253,0.05681085465989137
간경변증,59065,28903,87968,0.05417208397256809
[한방]관절병증,26959,57876,84835,0.0522427330826302
반월상 연골판 손상,37019,47677,84696,0.052157134686938736
위암,50820,33568,84388,0.051967463421665555
담낭담석,36699,45350,82049,0.05052707027402281
궤양성 대장염 및 크론병,50864,30210,81074,0.049926649872589865
심근경색증,70433,6210,76643,0.047197970079000735
알코올성 간질환,57011,15267,72278,0.04450993412797013
알코올중독증,53360,17036,70396,0.04335096879925545
선천성이상아,31657,38526,70183,0.04321980003463471
[한방]추간판탈출증_허리 디스크 ,33072,36302,69374,0.04272160505539444
심부전,41621,26643,68264,0.0420380495214554
[한방]퇴행성 관절증,21096,44560,65656,0.0404320019245968
신우신염,10947,51535,62482,0.03847740258700891
백반증,29007,32922,61929,0.03813685645163206
자궁경부암,0,60073,60073,0.036993902333622264
폐암,29002,30989,59991,0.03694340543832226
[한방]오십견,22947,35863,58810,0.036216126982842954
간암,44951,10521,55472,0.03416053385465507
[한방]추간판탈출증_목 디스크 ,22750,24616,47366,0.029168731009510958
요실금 ,1796,40005,41801,0.025741716102870574
루푸스,4291,37253,41544,0.025583451443210812
강박증,22194,19125,41319,0.025444892889033975
진행정도 상세불명 위암,22458,16769,39227,0.024156606243087585
난소암,0,35964,35964,0.022147199299625307
뇌종양_양성,13002,22874,35876,0.022093007509547256
만성폐쇄성폐질환(COPD),25497,7616,33113,0.02039150846425572
[한방]안면마비 ,17338,15491,32829,0.020216616778094738
자궁내막암(자궁체부암),0,32250,32250,0.019860059432013015
틱장애,11226,20372,31598,0.019458547532798364
ADHD(주의력결핍 과잉행동장애),15376,15695,31071,0.0191340126081264
췌장염,21266,8837,30103,0.018537902917267837
조기위암,18290,11773,30063,0.01851327028541418
신장암,19971,8204,28175,0.01735061006192145
맹장염(충수염),13237,13204,26441,0.016282785471065306
백혈병,14950,11395,26345,0.01622366715461652
파킨슨증,13176,12300,25476,0.015688523227595768
안면마비 ,12632,11334,23966,0.014758641375120122
탈장,12209,11299,23508,0.014476597740395721
결핵,14991,7718,22709,0.01398456091911887
구강암,14542,7542,22084,0.01359967604640544
진행형위암,12861,7780,20641,0.012711053852284673
췌장암,10362,8669,19031,0.011719590420174874
호흡기 결핵,13186,5692,18878,0.011625370603334627
[한방]염증성 다발관절병증,5545,12150,17695,0.010896860516262645
야뇨증 ,8345,8270,16615,0.010231779456213837
전립선암,16499,0,16499,0.010160344823838223
방광암,13227,3243,16470,0.010142486165744322
C형간염,7621,7644,15265,0.009400428131152827
치매,6641,6950,13591,0.008369552488077175
만성 백혈병,8495,5027,13522,0.008327061198129612
사시,6279,6028,12307,0.007578845005574704
비만,2228,9907,12135,0.007472924688603967
급성 백혈병,6042,6063,12105,0.007454450214713722
피부암,6260,5603,11863,0.0073054227919990816
담도담석,6414,5399,11813,0.007274632002182008
외상후 스트레스장애,4137,6834,10971,0.0067561151016624745
감염성 관절병증,5415,5350,10765,0.0066292570476161276
뇌종양_악성,5617,4939,10556,0.006500551546180756
육종,5142,5295,10437,0.0064272694664161195
유산,0,10401,10401,0.006405100097747826
당뇨병성족부궤양,7749,2542,10291,0.006337360360150262
흉부대동맥류,7153,2324,9477,0.0058360863019282895
[한방]뇌졸중,6078,3000,9078,0.005590375799188036
패혈증,4300,4572,8872,0.005463517745141689
복합부위통증증후군,4321,3829,8150,0.005018898740183134
[한방]위식도 역류질환,2531,5230,7761,0.004779346395406295
옴(Scabies),2694,4759,7453,0.004589675130133116
아나필락시스(과민성 쇼크),3205,3578,6783,0.0041770785465843185
온열질환(폭염) ,3126,2563,5689,0.00350337606538673
식도암,4303,1328,5631,0.003467658749198924
심정지 ,4005,1273,5278,0.003250275773090378
고위험산모_임신성 당뇨병,0,5063,5063,0.003117875376876958
식중독 및 감염병 관련 질환,2245,2795,5040,0.0031037116135611037
미주신경성 실신,2038,2712,4750,0.0029251250326220724
수막뇌염,2349,2093,4442,0.0027354537673488937
건강염려증,2304,1619,3923,0.0024158453690476607
한랭질환 ,1637,2206,3843,0.0023665801053403416
기흉,2522,1253,3775,0.0023247046311891204
피부전구암,1801,1874,3675,0.002263123051554972
의약품중독,940,2440,3380,0.0020814573916342325
후두암,2732,236,2968,0.0018277412835415391
진통 및 분만의 합병증,0,2876,2876,0.001771086230278122
혈우병,2751,120,2871,0.0017680071512964142
기면증,1708,1124,2832,0.0017439903352390964
영양실조,928,1862,2790,0.001718126071792754
벌 쏘임,1952,826,2778,0.001710736282236656
욕창,1681,1000,2681,0.0016510021499915315
인격장애,1238,1325,2563,0.001578335886023236
다낭성 난소증후군,0,2304,2304,0.0014188395947707902
고위험산모_다태아임신,0,1999,1999,0.0012310157768866362
대퇴경부골절,852,978,1830,0.0011269429073049247
고위험산모_조기진통,0,1806,1806,0.0011121633281927288
폭식증,135,1511,1646,0.0010136328007780907
동상,744,724,1468,0.0009040175890293056
고환암,1395,0,1395,0.000859063035896377
[한방]감염성 관절병증,494,839,1333,0.0008208824565232045
"고위험산모_임신중독증(고혈압, 단백뇨, 부종) ",0,1268,1268,0.0007808544297610078
흡연(니코틴중독),1091,149,1240,0.0007636115874634461
분노조절장애,992,205,1197,0.0007371315082207622
도박중독,1058,98,1156,0.000711883060570761
A형간염,588,398,986,0.000607194375192708
고위험산모_자궁경관무력증,0,760,760,0.0004680200052195315
거식증,111,534,645,0.0003972011886402603
실명,427,201,628,0.00038673232010245505
수족구병,182,367,549,0.0003380828721914774
고위험산모_전치태반,0,516,516,0.00031776095091220824
자폐증,434,76,510,0.0003140660561341593
뱀 물림,289,192,481,0.00029620739804025613
고위험산모_선천성 태아기형 ,0,323,323,0.00019890850221830088
조산,0,197,197,0.0001213157118792733
고위험산모_저체중아 산모,0,175,175,0.00010776776435976054
"구개, 구순열",76,84,160,9.853052741463821e-05
산후우울증,0,118,118,7.266626396829568e-05
머릿니 감염증,26,46,72,4.4338737336587194e-05
고위험산모_자궁기형,0,35,35,2.155355287195211e-05
성조숙증,0,0,0,0.0
미숙아,0,0,0,0.0
